username,position_rating_after_324,statement_attitude_324,argument_rating_325,statement_attitude_325,argument_rating_326,statement_attitude_326,argument_rating_327,statement_attitude_327,argument_rating_328,statement_attitude_328,argument_rating_329,statement_attitude_329,argument_rating_330,statement_attitude_330,argument_rating_331,statement_attitude_331,argument_rating_332,statement_attitude_332,argument_rating_333,statement_attitude_333,argument_rating_334,statement_attitude_334,argument_rating_335,statement_attitude_335,argument_rating_336,statement_attitude_336,argument_rating_337,statement_attitude_337,argument_rating_338,statement_attitude_338,argument_rating_339,statement_attitude_339,argument_rating_340,statement_attitude_340,argument_rating_341,statement_attitude_341,argument_rating_342,statement_attitude_342,argument_rating_343,statement_attitude_343,argument_rating_344,statement_attitude_344,argument_rating_345,statement_attitude_345,argument_rating_346,statement_attitude_346,argument_rating_347,statement_attitude_347,argument_rating_348,statement_attitude_348,argument_rating_349,statement_attitude_349,argument_rating_350,statement_attitude_350,argument_rating_351,statement_attitude_351,argument_rating_352,statement_attitude_352,argument_rating_353,statement_attitude_353,argument_rating_354,statement_attitude_354,argument_rating_355,statement_attitude_355,argument_rating_356,statement_attitude_356,argument_rating_357,statement_attitude_357,argument_rating_358,statement_attitude_358,argument_rating_359,statement_attitude_359,argument_rating_360,statement_attitude_360,argument_rating_361,statement_attitude_361,argument_rating_362,statement_attitude_362,position_rating_after_363,statement_attitude_363,argument_rating_364,statement_attitude_364,argument_rating_365,statement_attitude_365,argument_rating_366,statement_attitude_366,argument_rating_367,statement_attitude_367,argument_rating_368,statement_attitude_368,argument_rating_369,statement_attitude_369,argument_rating_370,statement_attitude_370,argument_rating_371,statement_attitude_371,argument_rating_372,statement_attitude_372,argument_rating_373,statement_attitude_373,argument_rating_374,statement_attitude_374,argument_rating_375,statement_attitude_375,argument_rating_376,statement_attitude_376,argument_rating_377,statement_attitude_377,argument_rating_378,statement_attitude_378,argument_rating_379,statement_attitude_379,argument_rating_380,statement_attitude_380,argument_rating_381,statement_attitude_381,argument_rating_382,statement_attitude_382,argument_rating_383,statement_attitude_383,argument_rating_384,statement_attitude_384,argument_rating_385,statement_attitude_385,argument_rating_386,statement_attitude_386,argument_rating_387,statement_attitude_387,argument_rating_388,statement_attitude_388,argument_rating_389,statement_attitude_389,argument_rating_390,statement_attitude_390,argument_rating_391,statement_attitude_391,argument_rating_392,statement_attitude_392,argument_rating_393,statement_attitude_393,argument_rating_394,statement_attitude_394,argument_rating_395,statement_attitude_395,argument_rating_396,statement_attitude_396,argument_rating_397,statement_attitude_397,argument_rating_398,statement_attitude_398,argument_rating_399,statement_attitude_399
upekiuser_4839,2,1,,,,,,,,,,,,,,,,,1.0,0.0,5.0,1.0,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,1.0,0.0,,,,,0.0,0.0,,,,,,,3,1,,,,,,,,,,,,,,,,,6.0,1.0,3.0,0.0,,,6.0,1.0,,,,,,,,,,,5.0,0.0,,,,,2.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upekiuser_4840,3,1,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,0.0,1.0,,,,,1.0,0.0,,,2.0,1.0,,,,,,,6.0,1.0,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,5,1,6.0,1.0,,,,,,,,,,,,,,,5.0,1.0,,,,,,,,,,,6.0,1.0,,,,,,,,,4.0,0.0,,,6.0,0.0,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,
upekiuser_4330,1,0,,,3.0,1.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,,3.0,1.0,,,,,,,,,3.0,1.0,,,,,,,,,,,,,5.0,1.0,,,,,,,,,3,1,,,3.0,1.0,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,3.0,0.0,3.0,0.0,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,,,,,,,,,
upekiuser_1447,5,0,2.0,0.0,,,,,,,,,5.0,0.0,,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,4.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,5,1,5.0,1.0,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,4.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,2.0,1.0,,,,,,,,,,,,,,
upekiuser_469,3,1,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,6.0,1.0,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,6.0,1.0,,,4,1,,,,,5.0,1.0,,,,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,6.0,1.0,,,,,,,5.0,1.0,,,,,,,3.0,0.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,
upekiuser_3153,4,1,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,6.0,1.0,,,,,2.0,0.0,,,,,,,5.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,5.0,1.0,,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,6.0,1.0,,,,,1.0,0.0,,,,,,,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
upekiuser_3459,6,1,,,,,,,,,0.0,0.0,,,,,,,,,6.0,1.0,,,,,,,,,,,6.0,1.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,6,1,6.0,1.0,,,,,,,6.0,1.0,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
upekiuser_1075,6,1,,,,,,,,,6.0,1.0,,,,,,,,,6.0,1.0,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,,,,,,,,,,,,,,,,,,,,,6.0,0.0,6.0,0.0,,,,,6,1,,,,,,,,,6.0,1.0,,,,,,,,,6.0,1.0,,,6.0,0.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,1.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
upekiuser_3923,6,1,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,3,1,,,,,,,6.0,1.0,,,,,,,,,0.0,0.0,,,,,6.0,1.0,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
upekiuser_2132,4,0,,,,,,,,,,,,,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,,,5.0,1.0,,,3.0,0.0,,,,,,,5,1,,,,,,,,,,,,,6.0,1.0,1.0,0.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
upekiuser_3474,6,1,,,,,,,,,,,,,,,,,,,6.0,1.0,6.0,1.0,,,0.0,0.0,,,,,,,,,,,,,,,4.0,1.0,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,5,1,,,,,,,,,,,,,,,,,,,6.0,1.0,,,,,6.0,1.0,,,6.0,1.0,,,,,,,,,6.0,0.0,,,6.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
upekiuser_3030,3,1,2.0,0.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,,,,,,2.0,0.0,,,6,1,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,4.0,0.0,,,,,,,,,,,,,,
upekiuser_1336,6,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,,,,5.0,1.0,,,5.0,1.0,,,,,,,,,,,6,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,,,6.0,1.0,6.0,1.0,,,,,,,,,,,,,,,,,,
upekiuser_1231,6,1,,,,,,,6.0,1.0,6.0,1.0,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,1.0,0.0,,,,,,,,,,,3.0,0.0,,,,,,,,,,,3,1,,,,,,,4.0,1.0,4.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
upekiuser_927,6,1,5.0,1.0,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,6,1,6.0,1.0,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,3.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,
upekiuser_478,6,1,,,,,5.0,1.0,,,,,,,6.0,1.0,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,,,6,1,,,,,6.0,1.0,,,,,,,,,,,,,,,5.0,1.0,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,2.0,0.0,,,,,,,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,
upekiuser_1669,1,0,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,,,,3.0,0.0,,,,,,,5.0,1.0,,,,,1,1,,,,,5.0,1.0,5.0,1.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
upekiuser_4452,4,1,1.0,0.0,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,5.0,1.0,,,,,,,1.0,0.0,,,,,6.0,1.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,6,1,4.0,1.0,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,6.0,1.0,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,1.0,0.0,,,,,,,,,,,,,,,,
upekiuser_4083,5,0,1.0,0.0,,,,,,,,,,,,,,,,,4.0,0.0,,,,,1.0,0.0,,,,,,,,,,,,,,,5.0,1.0,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,6,1,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,6.0,1.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
upekiuser_26,6,1,,,,,,,,,,,,,,,,,1.0,0.0,,,6.0,1.0,,,,,6.0,1.0,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,1.0,0.0,,,6.0,1.0,,,,,,,6.0,1.0,,,,,1.0,0.0,,,,,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
upekiuser_348,5,1,,,,,,,,,,,,,,,6.0,0.0,6.0,1.0,,,,,,,,,,,,,,,,,6.0,1.0,,,5.0,0.0,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,4.0,0.0,,,,,6,1,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,5.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,3.0,1.0,5.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,
upekiuser_97,6,1,,,,,,,6.0,1.0,,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,6.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,,0.0,0.0,,,6.0,0.0,,,,,,,,,,,5,1,,,,,,,6.0,1.0,,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,6.0,1.0,,,,,,,,,6.0,1.0,,,,,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
upekiuser_2150,6,1,,,,,,,,,,,2.0,1.0,,,,,,,,,5.0,1.0,,,,,,,4.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,5,0,,,,,,,,,,,5.0,1.0,,,4.0,1.0,,,,,5.0,1.0,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upekiuser_3469,3,1,,,,,,,2.0,0.0,,,,,,,5.0,1.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,2.0,0.0,,,2.0,0.0,,,,,,,,,6,1,,,,,,,6.0,1.0,,,,,,,5.0,1.0,6.0,1.0,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
upekiuser_1639,6,1,5.0,1.0,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,5,1,6.0,1.0,5.0,1.0,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,0.0,0.0,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,,,,,,,,,
upekiuser_2573,6,0,,,,,,,,,,,,,,,,,6.0,1.0,,,4.0,0.0,,,,,,,,,0.0,0.0,,,,,,,4.0,1.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,6,1,,,,,,,,,,,,,,,,,5.0,1.0,,,1.0,1.0,,,,,6.0,1.0,,,,,,,2.0,0.0,,,0.0,0.0,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
upekiuser_4906,5,1,,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,6.0,1.0,6.0,1.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,3.0,0.0,5,1,,,,,,,,,,,5.0,1.0,,,,,5.0,1.0,,,,,,,,,,,,,6.0,1.0,,,4.0,0.0,1.0,0.0,,,,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,
upekiuser_1810,6,1,,,,,,,6.0,1.0,6.0,1.0,,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,1.0,0.0,6,1,,,,,,,6.0,1.0,6.0,1.0,,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,,,,,
upekiuser_3260,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,5.0,1.0,0.0,1.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,6,1,,,,,,,,,,,,,6.0,1.0,,,,,3.0,1.0,,,,,,,,,3.0,0.0,,,,,,,1.0,0.0,0.0,0.0,,,,,,,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
upekiuser_51,6,1,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,6.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,6,1,6.0,1.0,6.0,1.0,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
upekiuser_3581,6,1,,,,,4.0,0.0,,,,,5.0,0.0,,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,0.0,0.0,6,1,,,,,6.0,1.0,,,,,5.0,0.0,,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
upekiuser_1196,3,1,,,,,,,,,2.0,0.0,,,,,,,,,,,3.0,0.0,,,,,4.0,0.0,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,4.0,1.0,6.0,1.0,,,,,,,,,6,1,,,,,,,,,4.0,1.0,,,,,,,,,3.0,1.0,3.0,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upekiuser_4544,4,1,,,,,3.0,1.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,6.0,1.0,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,6,1,,,,,6.0,1.0,,,,,,,,,,,6.0,1.0,,,,,,,,,6.0,1.0,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
upekiuser_4462,5,0,,,,,,,,,,,,,,,2.0,0.0,,,,,,,2.0,0.0,,,3.0,1.0,,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,5.0,1.0,,,,,6,1,,,,,,,,,,,,,,,6.0,1.0,,,,,,,0.0,1.0,,,6.0,1.0,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
upekiuser_3853,5,0,,,,,,,,,,,,,,,,,0.0,0.0,,,1.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,4.0,1.0,5,1,,,,,,,,,,,,,,,,,5.0,1.0,,,5.0,1.0,,,3.0,1.0,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,4.0,1.0,,,,,4.0,1.0,,,,,,,,,,,,,,
upekiuser_5367,6,1,6.0,1.0,,,,,,,,,3.0,1.0,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,6,1,4.0,1.0,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,6.0,1.0,,,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
upekiuser_3934,5,1,1.0,0.0,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,0.0,5.0,1.0,,,,,,,,,6,0,3.0,1.0,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,3.0,1.0,,,3.0,1.0,,,,,3.0,1.0,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
upekiuser_4185,6,1,,,6.0,1.0,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,0.0,0.0,,,,,,,5.0,1.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,6,1,,,6.0,1.0,,,6.0,1.0,,,,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,6.0,0.0,6.0,0.0,,,,,,,,,,,6.0,0.0,,,,,,,,,,,,,,,,,,
upekiuser_2475,4,1,5.0,1.0,,,3.0,1.0,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,6.0,1.0,,,,,,,,,4.0,0.0,,,,,,,4,1,,,,,3.0,0.0,,,,,,,,,,,,,,,3.0,1.0,,,,,,,5.0,1.0,,,,,,,,,,,4.0,0.0,,,,,4.0,0.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
upekiuser_2486,3,0,,,,,,,,,,,,,,,,,,,4.0,0.0,,,,,,,4.0,1.0,4.0,0.0,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,5.0,0.0,,,,,3.0,0.0,,,,,,,3,1,3.0,1.0,,,,,2.0,1.0,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,3.0,0.0,4.0,0.0,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upekiuser_4061,5,1,,,,,0.0,0.0,,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,5.0,1.0,,,5.0,1.0,4.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,6.0,1.0,,,,,,,,,,,,,,,,,6.0,1.0,,,6.0,1.0,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,
upekiuser_3320,3,0,2.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,4.0,1.0,,,,,3,0,5.0,1.0,3.0,0.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,
upekiuser_3264,5,0,,,3.0,0.0,,,,,,,,,,,,,0.0,0.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,0.0,0.0,,,,,,,6,0,,,,,,,,,,,,,,,,,0.0,1.0,6.0,1.0,,,,,,,,,,,5.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,
upekiuser_184,0,1,,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,4.0,1.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,4.0,0.0,3.0,0.0,,,,,,,6,1,,,,,,,,,6.0,1.0,6.0,1.0,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,
upekiuser_2926,6,1,4.0,1.0,,,5.0,1.0,,,,,,,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,3.0,0.0,,,,,,,,,5.0,0.0,,,,,,,,,,,,,3,1,5.0,1.0,,,2.0,1.0,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,1.0,1.0,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
upekiuser_2238,5,1,,,,,,,,,,,,,,,3.0,1.0,,,,,3.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,0.0,,,,,2.0,0.0,,,,,,,,,6,1,,,,,,,,,,,,,,,6.0,1.0,,,,,2.0,1.0,3.0,0.0,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upekiuser_2066,6,1,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,6.0,1.0,,,,,,,6.0,1.0,,,1.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,6,1,,,,,,,,,,,,,,,6.0,1.0,,,,,6.0,1.0,5.0,1.0,,,,,,,,,,,2.0,0.0,,,,,,,,,2.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
upekiuser_2657,4,0,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,5.0,0.0,,,,,1.0,0.0,,,1.0,1.0,5.0,0.0,,,,,,,,,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,4.0,1.0,0.0,1.0,,,,,,,3.0,0.0,,,,,,,2.0,1.0,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
upekiuser_362,6,1,,,,,,,,,,,,,,,,,6.0,1.0,6.0,1.0,,,,,6.0,1.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,6,1,,,,,,,,,,,,,,,,,6.0,1.0,3.0,1.0,,,,,6.0,1.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,1.0,0.0,,,,,,,,,,,,,,
upekiuser_246,5,0,,,,,,,,,3.0,1.0,,,,,,,,,,,3.0,1.0,,,,,,,,,,,3.0,0.0,,,,,,,,,3.0,0.0,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,4.0,1.0,,,,,,,3,1,,,,,,,,,3.0,1.0,,,,,,,,,,,3.0,1.0,,,,,,,,,3.0,1.0,,,,,,,,,3.0,1.0,,,3.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
upekiuser_3195,6,1,6.0,1.0,,,,,,,,,,,,,6.0,1.0,,,6.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,1.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,6.0,1.0,5.0,1.0,,,,,,,,,,,3.0,0.0,3.0,0.0,,,,,,,,,3.0,0.0,,,,,,,,,,,,,,,,,,
upekiuser_3301,6,1,,,,,,,,,3.0,1.0,,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,6,1,,,,,,,,,6.0,1.0,,,,,,,,,,,6.0,1.0,,,,,,,,,6.0,1.0,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,
upekiuser_1833,5,1,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,3,1,,,,,,,3.0,1.0,,,,,3.0,1.0,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,,,,3.0,1.0,,,3.0,0.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,
